"";"TI_HERB_4657";"TI_HERB_4658";"TI_HERB_4659";"TI_HERB_4660";"TI_HERB_4661";"TI_HERB_4662";"TI_HERB_4663";"TI_HERB_4664";"TI_HERB_4665";"TI_HERB_4666";"TI_HERB_4667";"TI_HERB_4668";"TI_HERB_4669";"TI_HERB_4670";"TI_HERB_4671";"TI_HERB_4672";"TI_HERB_4673";"TI_HERB_4674";"TI_HERB_4675";"TI_HERB_4676"
"TI_PLANT_3974";1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1
"TI_PLANT_3975";0;1;0;0;1;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0
"TI_PLANT_3976";0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1
"TI_PLANT_3977";0;1;1;1;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;1
"TI_PLANT_3978";1;0;1;0;1;0;0;0;1;1;1;1;1;0;1;0;0;1;0;1
"TI_PLANT_3979";1;0;0;1;1;1;0;0;1;0;0;0;1;0;1;0;1;0;1;0
"TI_PLANT_3980";0;0;1;0;0;0;1;0;0;1;1;1;1;1;0;0;1;0;0;0
"TI_PLANT_3981";1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0
"TI_PLANT_3982";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0
"TI_PLANT_3983";0;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0
"TI_PLANT_3984";0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0
"TI_PLANT_3985";0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0
"TI_PLANT_3986";1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"TI_PLANT_3911";0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1
"TI_PLANT_3987";0;1;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0
"TI_PLANT_3988";0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;1;1;1
"TI_PLANT_3989";1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0
